# exceed_fraction	latency_ns
1.0	30
0.9689500062613694	30
0.9388641146339078	30
0.9097123897531001	30
0.8814658257473117	30
0.8540963173770408	30
0.8275766320702963	30
0.8018803828262766	30
0.77698200196039	30
0.7528567156644913	30
0.7294805193570228	30
0.7068301537985343	30
0.6848830819488146	30
0.6636174665426099	30
0.643012148361616	30
0.6230466251811244	30
0.6037010313703756	30
0.5849561181263206	30
0.5667932343211247	30
0.5491943079443556	30
0.5321418281213919	30
0.5156188276901592	30
0.49960886631885976	31
0.4840960141478948	31
0.46906483593970666	40
0.454500375720767	40
0.44038814190043196	40
0.4267140928518564	40
0.41346462294062086	40
0.4006265489871693	40
0.38818709714958854	40
0.37613389021367666	40
0.3644549352776552	40
0.35313861181927103	40
0.342173660133414	40
0.3315491701287472	40
0.3212545704722014	40
0.31127961807053306	40
0.3016143878784797	40
0.292249263023372	40
0.28317492523637694	40
0.27438234558085023	40
0.2658627754685741	40
0.2576077379549399	40
0.24960901930441626	40
0.24185866081790838	40
0.23434895091387878	40
0.22707241745534817	40
0.22002182031514395	40
0.2131901441719966	40
0.2065705915303184	40
0.20015657595671676	40
0.19394171552651499	40
0.1879198264737574	40
0.18208491703838273	40
0.17643118150444184	40
0.17095299442342976	40
0.1656449050169821	40
0.1605016317533688	40
0.15551805709238667	40
0.15068922239342408	40
0.14601032298162914	40
0.14147670336727416	40
0.13708385261355818	40
0.13282739984823985	40
0.1287031099146334	40
0.12470687915764178	40
0.12083473134063283	40
0.11708281368909709	40
0.11344739305714936	40
0.10992485221306093	40
0.10651168624012548	40
0.10320449904927861	40
0.1	40
0.09689500062613693	40
0.09388641146339076	40
0.09097123897531002	40
0.08814658257473117	40
0.08540963173770408	40
0.08275766320702961	40
0.08018803828262767	40
0.07769820019603901	40
0.07528567156644912	40
0.07294805193570227	40
0.07068301537985344	40
0.06848830819488146	40
0.06636174665426098	40
0.06430121483616158	40
0.06230466251811245	40
0.06037010313703756	40
0.058495611812632055	40
0.05667932343211246	40
0.05491943079443557	40
0.05321418281213919	40
0.05156188276901592	40
0.04996088663188596	40
0.04840960141478949	41
0.04690648359397067	41
0.0454500375720767	41
0.044038814190043185	41
0.042671409285185646	41
0.04134646229406208	41
0.04006265489871692	41
0.03881870971495884	41
0.03761338902136767	41
0.03644549352776552	41
0.0353138611819271	41
0.03421736601334139	41
0.03315491701287472	41
0.03212545704722014	41
0.031127961807053305	41
